,person_id,age,sex,household_id,workplace_id,district_id,economic_status,school_goers
516567,516567,38,Male,126680000.0,37_subsistence_ag_178,37,subsistence_ag,0
123178,123178,11,Female,30949000.0,11_student_30,11,student,1
397414,397414,71,Female,98082000.0,55_subsistence_ag_299,55,subsistence_ag,0
315302,315302,13,Male,78520000.0,39_student_44,39,student,1
517614,517614,72,Female,126920000.0,38_student_44,38,student,0
546727,546727,25,Female,134717000.0,2_student_655,2,student,0
567698,567698,51,Male,140204000.0,2_healthcare_social_work_133,2,healthcare_social_work,0
229666,229666,16,Male,57553000.0,24_student_29,24,student,1
214593,214593,7,Female,53745000.0,none,21,inactive,0
492922,492922,15,Male,121104000.0,none,35,unemployed_not_ag,0
455121,455121,52,Female,111867000.0,57_student_87,57,student,0
626945,626945,48,Female,155363000.0,2_informal_petty_trade_398,2,informal_petty_trade,0
149878,149878,11,Male,37468000.0,14_student_40,14,student,1
171076,171076,42,Male,42524000.0,10_manu_mining_trades_19,10,manu_mining_trades,0
259954,259954,20,Female,64879000.0,27_subsistence_ag_472,27,subsistence_ag,0
314499,314499,12,Male,78326000.0,39_student_42,39,student,1
553529,553529,30,Female,136453000.0,2_student_217,2,student,0
373478,373478,72,Female,92258000.0,51_student_9,51,student,0
106061,106061,18,Female,26592000.0,7_student_29,7,student,0
561213,561213,41,Female,138546000.0,2_healthcare_social_work_49,2,healthcare_social_work,0
69989,69989,9,Male,17522000.0,none,6,inactive,0
561472,561472,80,Female,138629000.0,2_student_156,2,student,0
6760,6760,46,Male,1894000.0,1_informal_petty_trade_113,1,informal_petty_trade,0
204685,204685,16,Male,51261000.0,20_student_12,20,student,1
434735,434735,25,Male,106625000.0,none,59,unemployed_not_ag,0
19233,19233,61,Male,5204000.0,1_manu_mining_trades_90,1,manu_mining_trades,0
624793,624793,35,Female,154815000.0,2_student_176,2,student,0
17521,17521,17,Female,4745000.0,none,1,unemployed_not_ag,0
277788,277788,98,Female,69088000.0,31_student_10,31,student,0
53042,53042,10,Female,13570000.0,5_student_97,5,student,1
389042,389042,28,Male,96233000.0,54_subsistence_ag_117,54,subsistence_ag,0
651086,651086,29,Male,160682000.0,30_transport_sector_1,30,transport_sector,0
572583,572583,12,Female,141450000.0,2_student_702,2,student,1
430107,430107,43,Male,105583000.0,58_subsistence_ag_52,58,subsistence_ag,0
191870,191870,8,Male,47941000.0,none,25,inactive,0
